task,config_id,workers,epoch_s_median,epoch_s_min,epoch_s_max,epoch_s_p95,speedup,efficiency,samples,compute_wall_s,gradient_sync_s,samples_per_s,forward_gpu_s,backward_gpu_s,optimizer_gpu_s,optimizer_wall_s,data_s,input_h2d_wall_s,gradient_d2h_s,gradient_to_device_wall_s,update_confirm_s,digest_s,sync_update_s,request_bytes,response_bytes,outgoing_gradient_bytes,socket_framing_bytes,push_request_bytes,pull_response_bytes,SCATTER_request_bytes,GATHER_request_bytes,rank_step_median_s,rank_step_p95_s,sync_fraction,val_accuracy,val_angle_mae,test_accuracy,test_angle_mae,quality_run,performance_runs,resource_samples,gpu_utilization_pct_mean,gpu_utilization_pct_max,gpu_memory_mib_mean,gpu_memory_mib_max,gpu_temperature_c_mean,gpu_temperature_c_max,gpu_power_w_mean,gpu_power_w_max,cpu_utilization_pct_mean,cpu_utilization_pct_max
mnist_mlp,single-1,1,1.3851041999951121,1.3496446999997715,1.409984900004929,1.4074968300039472,1.0,1.0,49920.0,0.604669299973466,0.0,36040.609796848614,0.26012767946720106,0.309918431341648,0.4425716795623304,0.4705605999188265,0.05179009993298678,0.09085210002376698,0.0,0.06124689994612709,0.0,0.0,0.6070028999238275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002896800000598887,0.00690093999946839,0.0,0.9657,,0.9679,,mnist_mlp/convergence/single-1,mnist_mlp\performance\repeat-1\single-1;mnist_mlp\performance\repeat-2\single-1;mnist_mlp\performance\repeat-3\single-1,3,34.666666666666664,36.0,1689.3333333333333,1691.0,53.0,55.0,16.383333333333336,17.71,9.3,9.8
mnist_mlp,ps-json-2,2,33.21681489999901,32.80859739999869,34.039132199999585,33.956900469999525,0.04169888666824445,0.020849443334122225,49920.0,0.9929815999712446,28.490497900012997,1502.8533033732108,0.43335244834423114,0.41415577629208533,0.7826588772535319,0.7928939999328577,0.07256579997920198,0.11116139994555851,0.06736689995159395,0.14039609998872038,2.6488352999804192,0.3861207999798353,31.97846230003779,588674033.0,624617622.0,158776800.0,40704.0,587522965.0,624012774.0,0.0,0.0,0.08343684999636025,0.09569158999620413,0.857713118665506,0.9656,,0.9674,,mnist_mlp/convergence/ps-json-2,mnist_mlp\performance\repeat-1\ps-json-2;mnist_mlp\performance\repeat-2\ps-json-2;mnist_mlp\performance\repeat-3\ps-json-2,92,33.72867383512545,48.0,1796.0,1798.0,50.919713261648745,54.0,13.918695340501792,30.26,8.894982078853046,18.3
mnist_mlp,ps-json-4,4,52.96363250000286,52.7223251999967,53.57217750000564,53.51132300000536,0.026151986459671876,0.006537996614917969,49920.0,1.8732297999958973,42.595352599986654,942.5335394055026,0.7008472316861155,0.8553289289176464,0.9013334099650394,0.9133168000262231,0.06469379994814517,0.13243199992575683,0.07503800004633376,0.14439209992997348,7.43763259993284,0.4031761999212904,50.84655130010651,1097788901.0,1250053760.0,317553600.0,125368.0,1093938351.0,1248045843.0,0.0,0.0,0.13536604999899282,0.14336846500227693,0.8042377493647996,0.9652,,0.9673,,mnist_mlp/convergence/ps-json-4,mnist_mlp\performance\repeat-1\ps-json-4;mnist_mlp\performance\repeat-2\ps-json-4;mnist_mlp\performance\repeat-3\ps-json-4,146,35.2624716553288,57.0,2009.6462585034014,2038.0,51.80158730158731,53.0,13.692735260770974,22.9,11.803330498866211,23.9
mnist_mlp,ps-grpc-2,2,12.206659800001944,12.003118200002064,12.2970021000001,12.287967870000283,0.11347118889926723,0.056735594449633615,49920.0,0.810094299937191,5.849671399955696,4089.57084230299,0.35979580801725386,0.37660419243574134,0.6784140487909317,0.6893216999378637,0.07187150002573617,0.10667090010974789,0.06090119999862509,0.12960199991357513,5.330975999902876,0.38041349993727636,11.088409899944963,159223924.0,159062568.0,158776800.0,0.0,159023100.0,158976866.0,0.0,0.0,0.030128499998681946,0.050141025002085365,0.47921966334760674,0.9656,,0.9674,,mnist_mlp/convergence/ps-grpc-2,mnist_mlp\performance\repeat-1\ps-grpc-2;mnist_mlp\performance\repeat-2\ps-grpc-2;mnist_mlp\performance\repeat-3\ps-grpc-2,33,27.212121212121215,54.0,1796.0,1798.0,52.03030303030303,53.0,16.52121212121212,21.52,8.233333333333333,16.5
mnist_mlp,ps-grpc-4,4,15.398597100000188,15.32171450000169,15.712441199997556,15.68105678999782,0.08995002538218856,0.02248750634554714,49920.0,0.9624961001754855,6.884997500026657,3241.8537660160864,0.3952675513625145,0.4572210569828751,0.6785814737081531,0.6884137000379269,0.0699216999928467,0.11433729993586894,0.061568200049805455,0.1309550000805757,7.054650400059472,0.3828606998795294,14.359659199828457,318451094.0,318125916.0,317553600.0,0.0,318046980.0,317953732.0,0.0,0.0,0.033521749999636086,0.05303446999569132,0.44711849107517543,0.9652,,0.9673,,mnist_mlp/convergence/ps-grpc-4,mnist_mlp\performance\repeat-1\ps-grpc-4;mnist_mlp\performance\repeat-2\ps-grpc-4;mnist_mlp\performance\repeat-3\ps-grpc-4,42,32.5,50.0,2009.0,2011.0,52.333333333333336,54.0,17.32952380952381,23.54,11.585714285714284,20.3
mnist_mlp,ring-grpc-2,2,3.369404900004156,3.0615324999962468,3.4846437999949558,3.4731199099958756,0.4110827404546731,0.20554137022733654,49920.0,0.7252308999741217,0.8200375999804237,14815.672642946067,0.3383634562194347,0.31001184004545246,0.5564084467291834,0.5669530998784467,0.0607931999838911,0.10079239994956879,0.05956159998459043,0.16102490000776015,0.7743928000272717,0.3528249000082724,2.4352948998784996,159243792.0,71880.0,158776800.0,0.0,0.0,0.0,79565280.0,79563720.0,0.008400449998589465,0.011503560002165613,0.24337757684729794,0.9656,,0.9674,,mnist_mlp/convergence/ring-grpc-2,mnist_mlp\performance\repeat-1\ring-grpc-2;mnist_mlp\performance\repeat-2\ring-grpc-2;mnist_mlp\performance\repeat-3\ring-grpc-2,9,41.55555555555556,46.0,1796.0,1798.0,54.888888888888886,56.0,27.308888888888887,31.85,18.51111111111111,24.0
mnist_mlp,ring-grpc-4,4,5.684272300000885,5.5990487999952165,5.767188800004078,5.758897150003759,0.24367309074811505,0.06091827268702876,49920.0,1.0687368000071729,2.1835865000466583,8782.126781644896,0.4522985597848896,0.48476649573445313,0.7939309753179553,0.8050833000161219,0.06270220006990712,0.13025390002439963,0.07779100005427608,0.201625600020634,1.1134354000823805,0.4086889000755036,4.396657000077539,478709844.0,344800.0,476349120.0,0.0,0.0,0.0,239244420.0,239235060.0,0.014271750002080807,0.01722870500598219,0.38414530212536063,0.9657,,0.9679,,mnist_mlp/convergence/ring-grpc-4,mnist_mlp\performance\repeat-1\ring-grpc-4;mnist_mlp\performance\repeat-2\ring-grpc-4;mnist_mlp\performance\repeat-3\ring-grpc-4,15,42.46666666666667,47.0,2009.0,2011.0,57.13333333333333,58.0,32.172000000000004,37.21,24.893333333333334,28.3
donkey_resnet18,single-1,1,9.05241340000066,9.049683100005495,9.067766500003927,9.0662311900036,1.0,1.0,7936.0,6.285402699999395,0.0,876.672291612248,1.4040329189300544,4.873901290893555,1.1925646133422854,1.1950270000015735,1.1201842000009492,0.31861120000394294,0.0,0.09804589999112068,0.0,0.0,1.323936799999501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14594470000156434,0.15303019999701065,0.0,,0.03760295620560646,,0.038652831315994264,donkey_resnet18/convergence/single-1,donkey_resnet18\performance\repeat-1\single-1;donkey_resnet18\performance\repeat-2\single-1;donkey_resnet18\performance\repeat-3\single-1,27,74.37037037037037,95.0,4698.185185185185,4713.0,60.629629629629626,64.0,52.38666666666666,60.74,9.137037037037038,16.2
donkey_resnet18,ps-json-2,2,273.5786103999999,272.7522201999964,274.38394490000064,274.30341145000057,0.03308889312203577,0.016544446561017886,7936.0,18.124698400009947,244.17660759998398,29.00811576020785,6.819907752990724,11.202753822326661,1.4515098295211797,1.4536241000096197,0.621382600045763,0.3851740999816684,0.17235679997247644,0.1865624999627471,13.49299109999265,1.5188878000190016,254.8049476999513,1931989592.0,1940952857.0,348962784.0,99200.0,1928599252.0,1939146599.0,0.0,0.0,4.426833450001141,4.506295220000174,0.8925281374993931,,0.0376361967921257,,0.03853293168544769,donkey_resnet18/convergence/ps-json-2,donkey_resnet18\performance\repeat-1\ps-json-2;donkey_resnet18\performance\repeat-2\ps-json-2;donkey_resnet18\performance\repeat-3\ps-json-2,749,25.050982597054883,100.0,4921.0117429718875,4953.0,52.499748326639896,57.0,20.556766961178045,31.34,9.456647925033467,18.2
donkey_resnet18,ps-json-4,4,462.6672531000004,458.07479000000603,464.230664900002,464.07432372000187,0.019565710214731972,0.004891427553682993,7936.0,18.905391600026633,416.37762529998145,17.152716010970245,6.916127964019775,11.783901199340823,1.7584487295150755,1.7615143000075477,0.3819390999778989,0.3267269999560085,0.202637499976845,0.22731860000203596,32.812610799999675,1.880702199989173,443.1026387000238,3847925654.0,3889482371.0,697925568.0,550200.0,3828823021.0,3879287782.0,0.0,0.0,7.435621000000538,7.877358429997912,0.8999504990036242,,0.03739655500650406,,0.03837214675545692,donkey_resnet18/convergence/ps-json-4,donkey_resnet18\performance\repeat-1\ps-json-4;donkey_resnet18\performance\repeat-2\ps-json-4;donkey_resnet18\performance\repeat-3\ps-json-4,1260,29.036509148283926,100.0,5241.098283750073,5277.0,53.08673137252192,57.0,17.543315265510376,109.44,12.698147785489539,29.4
